author,rating,date,review
Mariam,1 star,6 months ago,"Very disappointing experience. I came to this branch asking for help with a bank error where a deposit was made into a closed account. Instead of assisting or even trying to check the system, the staff refused to help and simply said: “Go back to the branch that made the mistake, every branch takes its own responsibility.”

What was more frustrating is that two other staff members completely ignored me, didn’t greet me, didn’t ask if I needed help, and acted as if I didn’t exist.

I expected basic professionalism, guidance, or at least an attempt to help. This situation could have been handled with simple communication and customer care, but unfortunately none was shown. Very poor customer service.

I am definitely closing my account with this bank ."
Mohamed Nasser,5 stars,a year ago,"I went to the agency to fix some problems. The person who serviced me was so helpful, patient and did their best."
Yanis travel,3 stars,2 years ago,The polar is always crowded
lamyae allard,1 star,4 years ago,"We arrived at 3:43 PM to deposit cash into the business account, but they refused because they close at 2:45 PM. I find this unacceptable and completely unprofessional, especially since we own a restaurant and need to deposit the money for our suppliers. All the staff were inside watching us, but there was no reaction whatsoever. Shameful."
Taoufik ZN,1 star,a year ago,"The agents are not available for coffee, outings, chatting, ... except for work."
Hiba Elfhaiel,1 star,3 years ago,The agents are always unavailable and they leave the positions empty.
Mehdi,1 star,4 years ago,Service 0
Younes Ouachaou,4 stars,7 years ago,Attijari Agency
Yassin BOUGHABA,4 stars,8 years ago,
Frédéric Fouillien,5 stars,3 years ago,
